source_id,target_id
8100008,8100067
8100008,8100012
8100009,8100047
8100009,8100009
8100009,8100008
8100009,8100067
8100009,8100048
8100009,8100006
8100009,8100010
8100004,8100067
8100004,8100048
8100004,8100006
8100004,8100004
8100004,8100050
8100004,8100001
8100004,8100005
8100004,8100002
8100005,8100030
8100005,8100004
8100005,8100050
8100005,8100005
8100005,8100002
8100005,8100072
8100006,8100075
8100006,8100009
8100006,8100048
8100006,8100006
8100006,8100004
8100006,8100001
8100006,8100011
8100006,8100010
8100007,8100028
8100007,8100038
8100007,8100007
8100007,8100092
8100007,8100047
8100007,8100056
8100007,8100014
8100001,8100006
8100001,8100004
8100001,8100001
8100001,8100002
8100001,8100011
8100002,8100004
8100002,8100001
8100002,8100005
8100002,8100002
8100002,8100072
8100003,8100030
8100003,8100070
8100003,8100003
8100003,8100063
8100003,8100085
7700002,7700031
7700002,7700007
7700002,7700008
7700002,7700002
7700002,7700030
7700002,7700005
7700002,7700001
5500049,8100088
5500049,8100035
5500049,5500016
5500049,5500059
5500049,5500007
5500049,5500042
5500049,5500049
5500049,8100087
5500049,8100065
5500049,8100044
5500049,5500040
5500049,8100084
5500049,5500063
5500048,5500045
5500048,7400028
5500048,5500048
5500048,5500020
5500048,5500019
5500048,7400032
5500048,5500038
1990303,7000107
1990303,1990303
1990303,1990302
1990303,1990202
1990303,1990403
1990303,1990103
1990303,7000104
1990303,7000110
1870101,1870501
1870101,1870102
1870101,1870101
1870101,1870402
1870101,1870301
1870102,1710304
1870102,1870502
1870102,1870501
1870102,1870102
1870102,1870101
1870102,1710601
1870102,1870301
1870102,1870302
5500046,5500009
5500046,5500014
5500046,5500037
5500046,5500001
5500046,5500046
5500046,5500023
5500046,5500050
5500041,5500014
5500041,5500041
5500041,5500052
5500041,5500006
5500040,5500007
5500040,5500053
5500040,5500049
5500040,5500057
5500040,5500033
5500040,5500040
5500040,8100084
5500040,5500018
5500043,5500051
5500043,5500036
5500043,5500043
5500043,5500001
5500043,5500059
5500043,5500023
5500043,5500063
5500042,5500059
5500042,5500056
5500042,5500007
5500042,5500042
5500042,5500053
5500042,5500049
5500042,5500015
5500042,5500057
0170201,0170201
0170201,0170101
0170201,0170501
0170201,0170301
1970601,1970603
1970601,1970601
1970601,0350501
1970601,1970401
1970601,0770401
1970601,1970502
1970601,1970602
1730202,1730101
1730202,1730301
1730202,1730201
1730202,1730202
1730202,1730501
1730202,1970102
1730202,1730401
1730202,0210102
1730202,1850207
1190302,0970401
1190302,1190301
1190302,0970501
1190302,1190302
1190302,1190102
1190302,1190101
1190302,0730102
1190301,0970401
1190301,0570401
1190301,1190301
1190301,1190302
0610105,0610404
0610105,0610301
0610105,0610104
0610105,0610102
0610105,0610105
0610105,0610303
0610105,0610103
0610104,1790101
0610104,0610301
0610104,0610104
0610104,0610102
0610104,0610105
0610106,0610202
0610106,0610502
0610106,0610504
0610106,0610103
0610106,0610101
0610106,0610106
0610106,0610203
0610106,0610201
0610101,0610504
0610101,0610102
0610101,0610103
0610101,1530104
0610101,0610101
0610101,0610106
0610103,0610404
0610103,0610102
0610103,0610105
0610103,0610103
0610103,0610101
0610103,0610106
0610103,0610203
0610102,1790101
0610102,0610104
0610102,0610102
0610102,1790203
0610102,1530310
0610102,0610105
0610102,0610103
0610102,1530101
0610102,1530104
0610102,0610101
1970603,1970101
1970603,1970203
1970603,1970603
1970603,1970601
1970603,1970401
1970603,1970102
1970603,1970602
1970603,1970303
0910010,0170301
0910010,0910010
0910010,0150304
0910010,0910008
0910010,0150303
0910010,0150404
1250401,1250301
1250401,1250201
1250401,1250501
1250401,1250502
1250401,0090202
1250401,1250402
1250401,1250401
1250401,0150601
1250401,0090102
1250402,0090202
1250402,0150503
1250402,1630403
1250402,1250402
1250402,1250401
1250402,0150601
0670301,0890505
0670301,0890502
0670301,0670301
0670301,0670302
0670301,0670304
0670301,0670303
0670301,0890305
0670303,0670401
0670303,0670301
0670303,0670302
0670303,0670304
0670303,0670303
0670303,0670703
0670303,0670701
0670303,0670201
0670303,0670203
0670302,0890502
0670302,0890504
0670302,0670401
0670302,0670301
0670302,0670302
0670302,0670303
